facId,name,Level,type,address,city,state,zip,phone,hours,travelDays,lat,long
A11,Anchorage TRACON,8,TRACON,5200 W International Airport Rd,Anchorage,AK,99502,907-271-2700,0000-2359,9,61.17735,-149.97821
A80,Atlanta TRACON,12,TRACON,784 S Hwy 74,Peachtree City,GA,30269,678-364-6000,0000-2359,2,33.351769,-84.550204
A90,Boston TRACON,11,TRACON,25 Robert Milligan Pkwy,Merrimack,NH,03054,603-594-5500,0000-2359,4,42.816611,-71.493611
ABE,Allentown Tower,7,COMBINED TRACON TOWER,135 Fashion Dr S,Allentown,PA,18109,610-264-4539,0000-2359,3,40.658198,-75.441448
ABI,Abilene Tower,6,COMBINED TRACON TOWER,2925 Lance Dr,Abilene,TX,79602,325-201-9442,0000-2359,1,32.414646,-99.67937
ABQ,Albuquerque Tower,8,COMBINED TRACON TOWER,2800 Kirtland Dr SE,Albuquerque,NM,87117,505-856-4900,0000-2359,2,35.04877,-106.606432
ACK,Nantucket Tower,5,TOWER WITH RADAR,14 Airport Rd Unit 14,Nantucket,MA,02554,508-563-1487,0600-2200 MAY 15-SEP 30; 0600-2100 OCT 1-MAY 14,4,41.257091,-70.06338
ACT,Waco Tower,6,COMBINED TRACON TOWER,7909 Karl May Dr,Waco,TX,76708,254-759-3015,0600-0000,1,31.60754,-97.219666
ACY,Atlantic City Tower,6,COMBINED TRACON TOWER,Atlantic City International Airport,Atlantic City,NJ,08405,603-641-3940,0000-2359,4,39.455563,-74.58804
ADS,Addison Tower,6,TOWER WITH RADAR,16000 Dooley Rd,Addison,TX,75001,972-628-2403,0600-2200,1,32.967854,-96.83841
ADW,Andrews Tower,5,TOWER WITH RADAR,FAA Andrews Air Base ATCT,Andrews AFB,MD,20762,240-312-4096,0000-2359,3,38.80519,-76.87741
AFW,Alliance Tower,6,TOWER WITH RADAR,2300 Alliance Blvd,Fort Worth,TX,76177,817-491-6100,0000-2359,1,32.986794,-97.312874
AGC,Allegheny Tower,5,TOWER WITH RADAR,12 Allegheny County Airport,West Mifflin,PA,15122,412-461-4388,0000-2359,3,40.35061,-79.927025
AGS,Augusta Tower,6,COMBINED TRACON TOWER,1540 Hangar Rd,Augusta,GA,30906,706-798-5198,0645-2300,3,33.369617,-81.971674
ALB,Albany Tower,6,COMBINED TRACON TOWER,128 Sicker Rd,Latham,NY,12110,518-862-1600,0000-2359,4,42.751377,-73.80147
ALO,Waterloo Tower,5,COMBINED TRACON TOWER,2740 Livingston La,Waterloo,IA,50703,319-233-7230,0600-2000,2,42.550556,-92.39454
AMA,Amarillo Tower,6,COMBINED TRACON TOWER,2000 English Rd,Amarillo,TX,79108,806-335-4090,0600-0000,1,35.23306,-101.70626
ANC,Anchorage Tower,8,TOWER WITH RADAR,5200 W International Airport Rd,Anchorage,AK,99502,907-271-2700,0000-2359,9,61.17735,-149.97821
APA,Centennial Tower,8,TOWER WITH RADAR,7800 S Peoria St E Wing,Englewood,CO,80112,720-873-2770,0000-2359,2,39.575131,-104.84536
APC,Napa Tower,5,TOWER WITH RADAR,4000 Airport Rd,Napa,CA,94558,707-255-1533,0700-2000,4,38.20654,-122.27591
ARB,Ann Arbor Tower,5,TOWER WITH RADAR,875 Airport Blvd,Ann Arbor,MI,48108,734- 769-1830,0800-2000,3,42.22592,-83.74826
ARR,Aurora Tower,5,TOWER WITH RADAR,43 W 690 US 30,Sugar Grove,IL,60554,630-466-5610,0700-2100,2,41.768181,-88.467139
ASE,Aspen Tower,6,COMBINED TRACON TOWER,150 W Airport Rd,Aspen,CO,81611,970-925-3703,"ATCT 0700-2200, TRACON 0700-2000",2,39.22004,-106.864265
ATL,Atlanta Tower,12,TOWER WITH RADAR,1106 M H Jackson Service Rd,Atlanta,GA,30354,404-559-5800,0000-2359,2,33.640156,-84.396774
AUS,Austin Tower,9,COMBINED TRACON TOWER,10102 Aircraft Ln,Austin,TX,78719,512-369-7800,0000-2359,1,30.19608,-97.66543
AVL,Asheville Tower,6,COMBINED TRACON TOWER,61 Terminal Dr,Fletcher,NC,28732,828-684-0421,0630-2300,3,35.43443,-82.53724
AVP,Wilkes-Barre Tower,6,COMBINED TRACON TOWER,534 Lidy Rd,Dupont,PA,18641,570-655-7500,0000-2359,3,41.32794,-75.73436
AZO,Kalamazoo Tower,8,COMBINED TRACON TOWER,5400 Aviation Dr,Portgage,MI,49002,269-459-3350,0600-2300,2,42.238108,-85.547812
BDL,Bradley Tower,5,TOWER WITH RADAR,35 Perimeter Rd,Windsor Locks,CT,06096,860-386-3500,0000-2359,4,41.945976,-72.68602
BED,Hanscom Tower,6,TOWER WITH RADAR,LG Hanscom Field,Bedford,MA,01731,781-372-5500,0700-2300,4,42.465227,-71.288573
BFI,Boeing Tower,7,TOWER WITH RADAR,8200 E Marginal Way,Seattle,WA,98108,206-658-6400,0000-2359,5,47.529196,-122.304306
BFL,Bakersfield Tower,6,COMBINED TRACON TOWER,1547 Boughton Dr,Bakersfield,CA,93308,661-399-3531,0600-2300,3,35.434147,-119.04622
BGM,Binghamton Tower,5,COMBINED TRACON TOWER,2534 Airport Rd,Johnson City,NY,13790,607-729-6145,0600-0000,4,42.20997,-75.98741
BGR,Bangor Tower,5,COMBINED TRACON TOWER,617 Griffin Rd,Bangor,ME,04401,207-561-2500,0000-2359,5,44.81219,-68.82194
BHM,Birmingham Tower,8,COMBINED TRACON TOWER,5900 Messer Airport Hwy,Birmingham,AL,35212,205-769-3900,0000-2359,2,33.56016,-86.74917
BIL,Billings Tower,7,COMBINED TRACON TOWER,1907 Terminal Cir,Bilings,MT,59105,406-255-2750,0000-2359,3,45.8026,-108.53604
BIS,Bismarck Tower,5,COMBINED TRACON TOWER,2301 University Dr,Bismark,ND,58504,701-223-8790,0600-2359,2,46.76501,-100.76323
BJC,Rocky Mountain Metro Tower,7,TOWER WITH RADAR,11001 Control Tower Dr,Westminster,CO,80021,720-633-8600,0600-2200,2,39.906405,-105.12091
BNA,Nashville Tower,9,COMBINED TRACON TOWER,515 Olen Taylor Dr,Nashville,TN,37217,615-695-4500,0000-2359,2,36.11736,-86.67462
BOI,Boise Tower,8,COMBINED TRACON TOWER,3001 W Harvard St,Boise,ID,83705,208-364-5801,0000-2359,4,43.557022,-116.21996
BOS,Boston Tower,10,TOWER WITH RADAR,600 Control Tower,East Boston,MA,02128,617-455-3100,0000-2359,4,42.365749,-71.018709
BPT,Beaumont Tower,4,TOWER WITH RADAR,5040 W Airline Dr,Beaumont,TX,77705,409-720-5100,0600-2200,1,29.955837,-94.020669
BTR,Baton Rouge Tower,6,COMBINED TRACON TOWER,8326 Merle Gustafson Dr,Baton Rouge,LA,70807,225-354-2100,0500-0000,2,30.523174,-91.14952
BTV,Burlington Tower,7,COMBINED TRACON TOWER,1250 Airport Dr,South Burlington,VT,05403,802-657-4400,0530-0000,4,44.473225,-73.15886
BUF,Buffalo Tower,7,COMBINED TRACON TOWER,165 Holtz Dr,Cheektowaga,NY,14225,716-633-0660,0000-2359,3,42.940495,-78.7176
BUR,Burbank Tower,7,TOWER WITH RADAR,2821 N Hollywood Way,Burbank,CA,91505,818-567-4806,0000-2359,3,34.199932,-118.34882
BWI,Baltimore Tower,8,TOWER WITH RADAR,7062 Elm Rd,Baltimore,MD,21240,410-859-7255,0000-2359,3,39.17918,-76.66837
C90,Chicago TRACON,12,TRACON,1100 Bowes Rd,Elgin,IL,60123,847-608-5509,0000-2359,2,42.010273,-88.302536
CAE,Columbia Tower,6,COMBINED TRACON TOWER,2821 Aviation Way,West Columbia,SC,29170,803-822-4500,0000-2359,3,33.9449,-81.11782
CAK,Akron-Canton Tower,4,COMBINED TRACON TOWER,5400 Lauby Rd NW,North Canton,OH,44720,330-492-3801,"ATCT 0000-2359, TRACON 0600-0000",3,40.92375,-81.432655
CCR,Concord Tower,5,TOWER WITH RADAR,201 John Glenn Dr,Concord,CA,94520,925-685-5743,0700-2200,4,37.982174,-122.05614
CDW,Caldwell Tower,5,TOWER WITH RADAR,31 Wright Way Ste #1,Fairfield,NJ,07004,973-575-6448,0700-2300,4,40.876043,-74.277813
CHA,Chatanooga Tower,7,COMBINED TRACON TOWER,5921 Pinehurst St,Chattanooga,TN,37421,423-855-6475,0600-2350,2,35.029255,-85.20109
CHS,Charleston Tower,8,COMBINED TRACON TOWER,5775 S Aviation Ave,Charleston,SC,29406,843-414-2800,0000-2359,3,32.899498,-80.0301
CID,Cedar Rapids Tower,5,COMBINED TRACON TOWER,9455 Shepard Ct SW,Cedar Rapids,IA,52404,319-364-2344,0500-2330,2,41.888192,-91.705997
CKB,Clarksburg Tower,5,COMBINED TRACON TOWER,2500 Aviation Way,Bridgeport,WV,26330,304-842-4465,"0600-2300 MON - FRI, 0700-2300 SAT - SUN",3,39.30003,-80.22915
CLE,Cleveland Tower,8,COMBINED TRACON TOWER,5300 Riverside Dr,Cleveland,OH,44135,216-898-2020,0000-2359,3,41.402002,-81.848066
CLT,Charlotte Tower,12,COMBINED TRACON TOWER,5507 Josh BirMham Pkwy,Charlotte,NC,28208,704-359-1000,0000-2359,3,35.223496,-80.944273
CMA,Camarillo Tower,6,TOWER WITH RADAR,797 Aviation Dr,Camarillo,CA,93010,805-388-9730,0700-2100,3,34.20954,-119.084915
CMH,Columbus Tower,8,COMBINED TRACON TOWER,4277 International Gtwy,Columbus,OH,43219,614-338-4030,0000-2359,2,39.998375,-82.892624
CMI,Champaign Tower,5,COMBINED TRACON TOWER,1 Airport Rd,Savoy,IL,61874,217-355-4060,0600-2300,2,40.03943,-88.25399
CNO,Chino Tower,7,TOWER WITH RADAR,7000 Merrill Ave,Chino,CA,91710,909-597-1703,0700-2100,3,33.983753,-117.65177
COS,Colorado Springs Tower,8,COMBINED TRACON TOWER,460 Kincheloe Loop,Peterson AFB,CO,80914,719-380-6700,0000-2359,2,38.816542,-104.699121
CPR,Casper Tower,5,COMBINED TRACON TOWER,7710 Fuller St,Casper,WY,82604,307-472-8940,0500-2100,2,42.902534,-106.45689
CPS,Downtown Tower,5,TOWER WITH RADAR,9951 Molla Dr,Cahokia,IL,62206,618-337-2589,0630-2200,1,38.570107,-90.16692
CRP,Corpus Christi Tower,9,COMBINED TRACON TOWER,6902 McGloin Rd,Corpus Christi,TX,78415,361-299-4200,0000-2359,2,27.760798,-97.503006
CRQ,Palomar Tower,6,TOWER WITH RADAR,2200 Palomar Airport Rd,Carlsbad,CA,92010,760-438-4969,0700-2200,3,33.125824,-117.27478
CRW,Charleston Tower,5,COMBINED TRACON TOWER,100 Airport Rd,Charleston,WV,25311,304-347-5285,0000-2359,3,38.368767,-81.59689
CSG,Columbus Tower,4,TOWER WITH RADAR,3250 W Britt David Rd,Columbus,GA,31909,706-323-4363,0900-2100,2,32.528637,-84.95622
CVG,Cincinnati Tower,9,COMBINED TRACON TOWER,56 New Price Pike,Erlanger,KY,41018,859-372-6400,0000-2359,2,39.016514,-84.60554
D01,Denver TRACON,12,TRACON,26705 E 68th Ave,Denver,CO,80249,303-342-1500,0000-2359,2,39.824596,-104.67624
D10,Dallas - Ft Worth TRACON,12,TRACON,2401 International Pkwy,DFW Airport,TX,75261,972-615-2500,0000-2359,1,32.896458,-97.04025
D21,Detroit TRACON,11,TRACON,Detroit Metro Airport,Detriot,MI,48242,734-955-5000,0000-2359,3,42.212633,-83.353975
DAB,Daytona Beach Tower,10,COMBINED TRACON TOWER,2302 Bellevue Ave,Daytona Beach,FL,32114,386-226-3900,0000-2359,3,29.174086,-81.058205
DAL,Dallas Love Tower,8,TOWER WITH RADAR,8100 Aviation Pl,Dallas,TX,75235,214-353-1500,0000-2359,1,32.839867,-96.84308
DAY,Dayton Tower,4,TOWER WITH RADAR,3753 Cargo Rd,Vandalia,OH,45377,937-415-6800,0000-2359,2,39.89915,-84.224915
DCA,Washington National Tower,9,TOWER WITH RADAR,1 Aviation Circle,Washington,DC,20001,703-413-1530,0000-2359,3,38.854579,-77.04376
DEN,Denver Tower,12,TOWER WITH RADAR,8400 Pena Blvd Unit 492056,Denver,CO,80249,303-342-1600,0000-2359,2,39.84961,-104.67268
DFW,DFW Tower,12,TOWER WITH RADAR,2401 International Pkwy,DFW Airport,TX,75261,972-615-2600,0000-2359,1,32.896866,-97.040389
DLH,Duluth Tower,5,COMBINED TRACON TOWER,4525 Airport Approach Rd,Duluth,MN,55811,218-722-7326,0000-2359,2,46.833878,-92.19311
DPA,Dupage Tower,6,TOWER WITH RADAR,2710 International Dr,West Chicago,IL,60185,630-587-7800,0000-2359,2,41.907055,-88.255554
DSM,Des Moines Tower,7,COMBINED TRACON TOWER,3000 McKinley Ave,Des Moines,IA,50321,515-974-8010,0000-2359,2,41.54093,-93.65924
DTW,Detroit Tower,9,TOWER WITH RADAR,Detroit Metro Airport Bldg 801,Detroit,MI,48242,734-955-5000,0000-2359,3,42.21278,-83.354458
DVT,Deer Valley Tower,9,TOWER WITH RADAR,705 W Airport Blvd,Phoenix,AZ,85027,623-581-1492,0600-2359,3,33.69289,-112.08518
DWH,Hooks Tower,6,TOWER WITH RADAR,9125 Boudreaux Rd,Tomball,TX,77375,281-376-9721,0700-2200,1,30.067018,-95.555973
ELM,Elmira Tower,5,COMBINED TRACON TOWER,276 Sing Sing Rd,Horseheads,NY,14845,607-739-1971,0600-0000,3,42.162693,-76.89821
ELP,El Paso Tower,7,COMBINED TRACON TOWER,2050 Hawkins Blvd,El Paso,TX,79925,915-774-9400,0000-2359,2,31.798044,-106.37271
EMT,El Monte Tower,5,TOWER WITH RADAR,4500 Riverview Ave,El Monte,CA,91731,626-442-4390,0800-2000,3,34.088486,-118.0317
ERI,Erie Tower,4,COMBINED TRACON TOWER,4411 W 12th St,Erie,PA,16505,814-833-0841,0600-0000,3,42.084103,-80.18283
EUG,Eugene Tower,6,COMBINED TRACON TOWER,28833 Douglas Dr,Eugene,OR,97402,541-607-4600,0600-2330,5,44.117598,-123.212759
EVV,Evansville Tower,5,COMBINED TRACON TOWER,7405 Indianapolis Rd,Evansville,IN,47725,812-436-4660,0600-2300,2,38.044869,-87.529469
EWR,Newark Tower,11,TOWER WITH RADAR,118 Flagpole Rd,Newark,NJ,07114,973-565-5000,0000-2359,4,40.692529,-74.182941
F11,Central Florida TRACON,11,TRACON,9399 Jeff Fuqua Blvd S,Orlando,FL,32827,407-852-7570,0000-2359,3,28.431326,-81.30512
FAI,Fairbanks Tower,7,COMBINED TRACON TOWER,3800 University Ave S,Fairbanks,AK,99709,907-474-0050,0000-2359,9,64.81098,-147.84708
FAR,Fargo Tower,7,COMBINED TRACON TOWER,3101 Dakota Dr,Fargo,ND,58102,701-239-5188,"ATCT 0000-2359, TRACON 0600-2259",2,46.90662,-96.822556
FAT,Fresno Tower,7,COMBINED TRACON TOWER,5055 E Anderson Ave,Fresno,CA,93727,559-487-5405,0000-2359,4,36.77361,-119.72433
FAY,Fayetteville Tower,6,COMBINED TRACON TOWER,3041 Control Tower Rd,Fayetteville,NC,28306,910-484-6723,0000-2359,3,34.991886,-78.88525
FCM,Flying Cloud Tower,6,TOWER WITH RADAR,10110 Flying Cloud Dr,Eden Prairie,MN,55347,952-941-1188,"0700-2200 APR-OCT, 0700-2100 NOV-MAR",2,44.821742,-93.458352
FFZ,Falcon Tower,8,TOWER WITH RADAR,4822 E Falcon Dr,Mesa,AZ,85215,480-981-1376,0600-2100,2,33.45266,-111.72829
FLL,Fort Lauderdale Tower,8,TOWER WITH RADAR,4150 SW 12th Ter,Fort Lauderdale,FL,33315,954-921-9200,0000-2359,4,26.07277,-80.1575
FLO,Florence Tower,5,COMBINED TRACON TOWER,2085 Terminal Dr,Florence,SC,29506,843-665-0632,0630-2200,3,34.194355,-79.72702
FNT,Flint Tower,4,COMBINED TRACON TOWER,3900 W Maple Rd,Flint,MI,48507,810-342-7800,0545-2330,3,42.96177,-83.75108
FPR,St Lucie Tower,7,TOWER WITH RADAR,3300 Hammond Rd,Fort Pierce,FL,34946,772-465-0761,0700-2100,3,27.490812,-80.37401
FRG,Farmingdale Tower,7,TOWER WITH RADAR,7170 Republic Airport,Farmingdale,NY,11735,631-454-2332,0700-2300,4,40.72089,-73.41779
FSD,Sioux Falls Tower,6,COMBINED TRACON TOWER,2601 N Jaycee Ln,Sioux Falls,SD,57104,605-338-4841,0500-0000,2,43.5827,-96.73179
FSM,Fort Smith Tower,7,COMBINED TRACON TOWER,5100 S 66th St,Fort Smith,AR,72903,479-649-2400,0530-2300,1,35.333874,-94.36185
FTW,Meacham Tower,6,TOWER WITH RADAR,4100 N Lincoln Ave,Fort Worth,TX,76106,817-740-3300,0000-2359,1,32.813904,-97.36304
FWA,Fort Wayne Tower,5,COMBINED TRACON TOWER,3817 Winters Rd,Fort Wayne,IN,46809,260-479-6500,0000-2359,2,40.974575,-85.18714
FXE,Fort Lauderdale Exec. Tower,7,TOWER WITH RADAR,5550 NW 23rd Ave,Fort Lauderdale,FL,33309,954-776-1046,0000-2359,4,26.195402,-80.17355
GCN,Grand Canyon Tower,5,TOWER WITH RADAR,1393 Liberator Dr,Grand Canyon,AZ,86023,928-638-2850,"0700-1900 Oct-May , 0600-2000 Jun-Sep",2,35.95164,-112.142239
GEG,Spokane Tower,7,COMBINED TRACON TOWER,8314 W Electric Ave,Spokane,WA,99224,509-742-2500,0000-2359,4,47.612667,-117.528046
GFK,Grand Forks Tower,9,TOWER WITH RADAR,2780 Airport Dr RR #2,Grand Forks,ND,58203,701-792-4260,0600-2330,2,47.948858,-97.173887
GGG,Longview Tower,6,COMBINED TRACON TOWER,214 Tower Rd,Longview,TX,75603,903-643-4015,0600-2200,1,32.379895,-94.712605
GPT,Gulfport Tower,7,COMBINED TRACON TOWER,4445 10th Ave,Gulfport,MS,39501,228-265-6100,0600-2300,2,30.4012,-89.07375
GRB,Green Bay Tower,6,COMBINED TRACON TOWER,2077 Airport Dr,Green Bay,WI,54313,920-431-5751,0530-2330,3,44.496002,-88.11974
GRR,Grand Rapids Tower,5,COMBINED TRACON TOWER,5500 44th St SE,Grand Rapids,MI,49512,616-575-1902,0530-0000,2,42.88416,-85.52964
GSO,Greensboro Tower,7,COMBINED TRACON TOWER,1321 S Terminal Rd,Greensboro,NC,27409,336-358-3440,0000-2359,3,36.100918,-79.941145
GSP,Greer Tower,7,COMBINED TRACON TOWER,2000 GSP Dr,Greer,SC,29651,864-879-2155,0600-2345,3,34.878906,-82.22441
GTF,Great Falls Tower,5,COMBINED TRACON TOWER,2830 Airport Ave A,Great Falls,MT,59404,406-454-7500,0000-2359,4,47.480063,-111.359468
HCF,Honolulu Control Facility,11,COMBINED CONTROL FAC.,760 Worchester Ave,Honolulu,HI,96818,808-840-6100,0000-2359,X,21.319256,-157.94348
HEF,Manassas Tower,5,TOWER WITH RADAR,10603 Observation Rd,Manassas,VA,20110,703-361-5800,0630-2230,3,38.72197,-77.52028
HIO,Hillsboro Tower,6,TOWER WITH RADAR,3119 NE Cornell Rd,Hillsboro,OR,97124,503-615-5470,0600-2200,5,45.530663,-122.95592
HLN,Helena Tower,5,NON-RADAR APP/TOWER,3100 Airport Rd,Helena,MT,59601,406-449-5756,0600-2200,4,46.60215,-111.98297
HOU,Hobby Tower,8,TOWER WITH RADAR,8410 Lockheed Ave,Houston,TX,77061,713-847-1400,0000-2359,1,29.645914,-95.287735
HPN,Westchester Tower,7,TOWER WITH RADAR,91 Tower Rd,White Plains,NY,10604,914-948-6520,0600-2300,4,41.06053,-73.718796
HSV,Huntsville Tower,7,COMBINED TRACON TOWER,1000 E Boeing Cir,Huntsville,AL,35824,256-542-2060,"0600-0000 TUE-SAT, SUN 0600-TUE 0000",2,34.638943,-86.77219
HTS,Huntington Tower,5,COMBINED TRACON TOWER,1471 Airport Rd,Huntington,WV,25704,304-453-1201,0000-2359,2,38.37022,-82.55581
HUF,Terre Haute Tower,5,COMBINED TRACON TOWER,580 Airport St,Terre Haute,IN,47803,812-877-7730,0000-2359,2,39.460377,-87.30309
HWD,Hayward Tower,6,TOWER WITH RADAR,20305 Skywest Dr,Hayward,CA,94541,510-785-5248,0700-2100,4,37.66321,-122.11974
I90,Houston TRACON,12,TRACON,4005 Greens Rd,Houston,TX,77032,281-443-5840,0000-2359,1,29.954588,-95.321137
IAD,Dulles Tower,9,TOWER WITH RADAR,24525 Willard Rd,Dulles,VA,20166,571-323-6351,0000-2359,3,38.938973,-77.448653
IAH,Houston Intercontinental Tower,11,TOWER WITH RADAR,4215 Will Clayton Pkwy,Houston,TX,77032,281-209-8600,0000-2359,1,29.984102,-95.328384
ICT,Wichita Tower,8,COMBINED TRACON TOWER,2196 S Airport Rd,Wichita,KS,67209,316-350-1500,0000-2359,1,37.65559,-97.426186
ILG,Wilmington Tower,4,TOWER WITH RADAR,#1 DRBA Way,New Castle,DE,19720,302-324-0265,0630-2300,3,39.677704,-75.599394
ILM,Wilmington Tower,7,COMBINED TRACON TOWER,2220 Control Tower Dr,Wilmington,NC,28405,910-815-4530,0600-2300,3,34.26564,-77.8977
IND,Indianapolis Tower,9,COMBINED TRACON TOWER,8100 Col H Weir Cook Memorial Dr S,Indianapolis,IN,46241,317-227-5780,0000-2359,2,39.708816,-86.304495
ISP,Islip Tower,6,TOWER WITH RADAR,5 Airway Rd,Ronkonkoma,NY,11779,631-619-9040,0600-2359,4,40.789383,-73.101524
ITO,Hilo Tower,6,COMBINED TRACON TOWER,102 Ailolo St,Hilo,HI,96720,808-935-4658,0600-2200,X,19.71619,-155.047476
JAN,Jackson Tower,6,COMBINED TRACON TOWER,100 International Dr,Jackson,MS,39298,601-965-5793,0600-2300,2,32.310078,-90.075512
JAX,Jacksonville Tower,9,COMBINED TRACON TOWER,14400 Whirlwind Ave,Jacksonville,FL,32218,904-741-0700,0000-2359,3,30.49303,-81.68277
JCF,Joshua Control Facility,8,COMBINED CONTROL FAC.,100 E Sparks Dr,Edwards AFB,CA,93524,661-575-2100,0000-2359,3,34.919201,-117.902154
JFK,Kennedy Tower,11,TOWER WITH RADAR,JFK International Airport,Jamaica,NY,11430,718-656-0335,0000-2359,4,40.64267,-73.78132
JNU,Juneau Tower,5,TOWER WITH RADAR,1873 Shell Simmons Dr,Juneau,AK,99801,907-586-7411,0600-2300 APR-SEP; 0700-2000 OCT-MAR,8,58.36273,-134.58452
L30,Las Vegas TRACON,11,TRACON,699 Wright Brothers Ln,Las Vegas,NV,89119,702-262-5900,0000-2359,3,36.082711,-115.146932
LAF,Lafayette Tower,6,TOWER WITH RADAR,1560 Aviation Dr,West Lafayette,IN,47906,765-743-2611,0700-2100,2,40.414752,-86.933346
LAN,Lansing Tower,4,COMBINED TRACON TOWER,4100 Capital City Blvd,Lansing,MI,48906,517-321-1355,0000-2359,3,42.77323,-84.588875
LAS,Las Vegas Tower,11,TOWER WITH RADAR,699 Wright Brothers Ln,Las Vegas,NV,89119,702-262-5910,0000-2359,3,36.08277,-115.147243
LAX,Los Angeles Tower,12,TOWER WITH RADAR,245 World Way N,Los Angeles,CA,90045,310-342-4900,0000-2359,3,33.9449,-118.40668
LBB,Lubbock Tower,7,COMBINED TRACON TOWER,7001 N Martin Luther King Jr Blvd,Lubbock,TX,79403,806-766-6503,0000-2359,1,33.530704,-101.820145
LCH,Lake Charles Tower,5,COMBINED TRACON TOWER,500 Airport Blvd,Lake Charles,LA,70607,337-477-2016,0600-2200,2,30.128315,-93.21417
LEX,Lexington Tower,7,COMBINED TRACON TOWER,4051 Terminal Dr,Lexington,KY,40510,859-514-7901,0000-2359,2,38.039906,-84.5974
LFT,Lafayette Tower,5,COMBINED TRACON TOWER,220 Tower Dr,Lafayette,LA,70508,337-234-4935,0530-2230,2,30.20401,-91.99567
LGA,La Guardia Tower,11,TOWER WITH RADAR,LaGuardia Airport,Flushing,NY,11371,347-846-1710,0000-2359,4,40.773497,-73.873687
LGB,Long Beach Tower,8,TOWER WITH RADAR,3601 E Spring St,Long Beach,CA,90806,562-424-7128,0615-2345,3,33.8117,-118.150211
